task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_36,humaneval,pass,0,,0,,0,8.000,4.000,66.907,68.532,2.400,164.478,4.000,0.000,3.000,3.226,33.768,38.748,56.140,29.912,70.312,87.635,93.824,10.000,5.000,91.217,84.000,2.333,196.000,5.000,0.000,5.000,2.986,74
HumanEval_37,humaneval,pass,0,,0,,0,11.000,3.000,88.837,25.266,2.250,56.849,4.000,18.182,4.000,2.649,17.507,29.058,22.222,18.664,51.948,79.034,90.100,10.000,3.000,95.922,11.610,1.000,11.610,2.000,0.000,5.000,3.030,106
HumanEval_38,humaneval,fail,1,magic_number,1,magic_number,0,10.000,8.000,83.644,158.325,5.031,796.571,2.000,40.000,4.000,3.251,100.000,100.000,100.000,100.000,100.000,100.000,100.000,6.000,5.000,84.320,77.709,3.111,241.762,1.000,33.333,5.000,3.953,240
HumanEval_39,humaneval,fail,0,,0,,0,17.000,4.000,58.879,91.738,3.500,321.084,15.000,0.000,6.000,1.690,35.068,52.304,49.153,36.134,72.000,87.131,94.563,16.000,4.000,85.643,135.934,4.615,627.386,16.000,0.000,6.000,2.033,141
HumanEval_40,humaneval,pass,0,,0,,0,14.000,5.000,59.702,122.624,3.077,377.304,9.000,0.000,3.000,1.815,35.396,46.466,51.282,27.276,67.429,85.306,92.809,7.000,5.000,70.781,51.891,1.111,57.657,10.000,0.000,2.000,2.050,116
HumanEval_41,humaneval,pass,0,,0,,0,4.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,0.000,7.777,100.000,100.000,100.000,100.000,100.000,100.000,100.000,2.000,1.000,55.568,4.755,0.500,2.377,0.000,0.000,0.000,13.175,31
HumanEval_42,humaneval,pass,0,,0,,0,2.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,0.000,3.846,29.847,53.080,71.429,59.257,100.000,97.593,97.033,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,0.000,3.287,35
HumanEval_43,humaneval,pass,0,,0,,0,7.000,3.000,73.706,11.610,1.000,11.610,3.000,0.000,2.000,2.920,5.561,31.479,40.000,19.447,50.000,77.977,90.364,6.000,4.000,67.079,27.000,1.000,27.000,6.000,0.000,3.000,2.260,43
HumanEval_44,humaneval,pass,1,magic_number,1,magic_number,0,9.000,4.000,65.244,82.045,4.667,382.875,3.000,0.000,2.000,2.182,26.157,54.570,37.209,41.428,67.368,82.993,91.975,6.000,2.000,83.384,38.039,3.200,121.725,1.000,0.000,1.000,3.460,83
HumanEval_45,humaneval,pass,0,,0,,0,2.000,1.000,87.251,15.510,1.000,15.510,0.000,0.000,0.000,5.403,75.984,83.701,88.889,69.611,100.000,92.619,94.754,2.000,1.000,87.251,15.510,1.000,15.510,0.000,0.000,0.000,5.827,56
HumanEval_46,humaneval,pass,1,magic_number,1,magic_number,0,10.000,5.000,63.705,93.765,2.000,187.531,6.000,0.000,1.000,2.177,25.887,25.851,29.730,19.183,50.279,79.444,88.363,8.000,3.000,76.326,95.184,2.045,194.694,2.000,0.000,3.000,2.814,105
HumanEval_47,humaneval,pass,0,,0,,0,9.000,2.000,93.213,91.377,6.000,548.259,2.000,0.000,2.000,2.275,48.620,51.934,65.455,37.530,84.615,90.303,94.641,6.000,2.000,92.993,98.099,4.364,428.069,2.000,0.000,2.000,2.347,153
HumanEval_48,humaneval,pass,0,,0,,0,2.000,1.000,50.352,11.610,1.000,11.610,0.000,0.000,0.000,1.957,1.811,15.354,27.273,2.957,29.091,77.545,83.727,5.000,3.000,74.592,27.000,1.000,27.000,3.000,0.000,2.000,1.927,81
HumanEval_49,humaneval,pass,0,,0,,0,11.000,3.000,86.130,105.486,4.500,474.687,3.000,0.000,0.000,2.960,3.437,24.187,27.027,24.991,55.556,81.528,88.023,5.000,2.000,72.420,15.510,1.000,15.510,1.000,0.000,1.000,3.628,189
