task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_277,mbpp,pass,0,,0,,0,2.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,1.000,34.401,47.268,50.000,32.863,88.889,3.000,3.000,81.722,4.755,0.500,2.377,0.000,0.000,1.000,44
mbpp_301,mbpp,fail,0,,0,,0,4.000,4.000,77.992,15.510,1.000,15.510,3.000,0.000,4.000,60.818,72.223,75.556,45.853,83.784,4.000,3.000,81.722,4.755,0.500,2.377,3.000,0.000,4.000,61
mbpp_410,mbpp,pass,0,,0,,0,2.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,21.187,44.761,51.429,10.025,87.273,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,40
HumanEval_90,humaneval,pass,1,magic_number,1,magic_number,0,5.000,2.000,88.359,4.755,0.500,2.377,1.000,0.000,3.000,46.546,53.503,53.846,34.931,91.228,3.000,2.000,69.208,4.755,0.500,2.377,1.000,0.000,3.000,194
HumanEval_140,humaneval,pass,1,magic_number,1,magic_number,0,19.000,6.000,85.005,127.438,5.833,743.387,12.000,0.000,3.000,19.311,24.848,29.091,16.076,46.735,21.000,7.000,80.664,335.201,6.000,2011.204,12.000,0.000,1.000,307
mbpp_462,mbpp,fail,0,,0,,0,5.000,3.000,76.339,13.932,0.500,6.966,1.000,0.000,1.000,22.452,43.050,41.860,17.816,65.979,7.000,3.000,71.139,27.000,1.000,27.000,3.000,0.000,2.000,101
mbpp_98,mbpp,pass,0,,0,,0,5.000,2.000,76.473,13.932,1.333,18.575,1.000,0.000,1.000,25.916,46.687,50.000,54.312,100.000,5.000,2.000,76.473,13.932,1.333,18.575,1.000,0.000,1.000,47
HumanEval_158,humaneval,pass,0,,0,,0,2.000,1.000,87.350,2.000,0.500,1.000,0.000,0.000,3.000,65.370,79.030,72.727,60.546,100.000,2.000,1.000,59.980,2.000,0.500,1.000,0.000,0.000,3.000,44
mbpp_487,mbpp,pass,0,,0,,0,2.000,1.000,87.350,2.000,0.500,1.000,0.000,0.000,1.000,3.536,20.943,21.818,4.627,25.397,9.000,4.000,65.472,76.107,4.000,304.430,6.000,0.000,2.000,40
mbpp_168,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,10.934,37.499,40.000,11.394,42.857,5.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,0.000,27
mbpp_428,mbpp,pass,0,,0,,0,14.000,5.000,59.584,102.799,5.000,513.993,7.000,0.000,2.000,46.503,45.653,59.048,53.027,92.241,12.000,5.000,61.698,102.799,5.000,513.993,7.000,0.000,2.000,148
HumanEval_120,humaneval,pass,0,,0,,0,4.000,2.000,49.308,10.000,1.500,15.000,1.000,0.000,1.000,48.992,53.258,63.158,41.693,77.778,6.000,2.000,63.106,10.000,1.500,15.000,1.000,0.000,1.000,295
mbpp_300,mbpp,pass,0,,0,,0,3.000,2.000,80.986,15.510,1.000,15.510,0.000,0.000,4.000,28.824,39.140,40.816,8.805,36.957,7.000,2.000,68.059,77.709,3.111,241.762,1.000,0.000,1.000,55
HumanEval_101,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,2.746,13.156,28.571,9.227,47.222,11.000,4.000,97.606,11.610,1.000,11.610,5.000,0.000,3.000,162
mbpp_437,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,4.238,23.370,31.250,4.421,28.571,6.000,3.000,70.504,53.774,2.500,134.436,3.000,0.000,2.000,25
mbpp_47,mbpp,pass,0,,0,,0,5.000,2.000,73.276,39.863,1.714,68.337,1.000,0.000,1.000,18.984,34.766,62.069,26.559,74.766,10.000,4.000,63.410,108.000,5.400,583.200,5.000,0.000,1.000,61
mbpp_432,mbpp,pass,0,,0,,0,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,0.000,65.336,72.917,69.565,23.310,70.270,3.000,1.000,81.121,15.510,1.000,15.510,0.000,0.000,0.000,37
mbpp_246,mbpp,pass,0,,0,,0,11.000,4.000,63.102,88.811,3.556,315.771,3.000,0.000,2.000,12.842,38.404,38.356,14.629,66.667,10.000,3.000,64.642,75.284,3.500,263.495,2.000,0.000,0.000,120
HumanEval_36,humaneval,pass,0,,0,,0,6.000,4.000,88.081,68.532,2.400,164.478,4.000,0.000,3.000,35.078,41.052,57.143,34.455,70.866,10.000,5.000,91.217,84.000,2.333,196.000,5.000,0.000,5.000,166
HumanEval_55,humaneval,pass,0,,0,,0,5.000,2.000,92.559,4.755,0.500,2.377,1.000,0.000,1.000,4.621,14.837,18.750,8.981,39.474,6.000,3.000,89.327,47.549,2.500,118.872,3.000,0.000,1.000,109
mbpp_211,mbpp,pass,0,,0,,0,8.000,5.000,65.898,91.377,6.000,548.259,5.000,0.000,1.000,28.895,61.362,57.778,35.919,65.854,5.000,2.000,76.473,13.932,1.333,18.575,1.000,0.000,1.000,84
mbpp_106,mbpp,pass,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,1.000,54.453,72.120,75.862,24.547,63.158,3.000,1.000,84.716,4.755,0.500,2.377,0.000,0.000,2.000,38
mbpp_493,mbpp,fail,1,dead_code,1,dead_code,0,47.000,4.000,45.498,562.621,8.400,4726.016,6.000,0.000,5.000,68.271,80.768,70.251,59.646,80.926,50.000,4.000,44.978,492.411,8.000,3939.289,6.000,0.000,4.000,578
mbpp_311,mbpp,fail,0,,0,,0,13.000,6.000,76.163,122.624,6.650,815.449,6.000,7.692,2.000,37.620,48.655,52.747,29.446,66.667,9.000,4.000,63.716,97.672,5.333,520.919,4.000,0.000,0.000,154
mbpp_310,mbpp,pass,1,magic_number,1,magic_number,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,1.000,26.217,40.706,50.000,10.049,69.388,3.000,3.000,87.081,2.000,0.500,1.000,0.000,0.000,2.000,37
mbpp_407,mbpp,pass,0,,0,,0,14.000,5.000,58.160,164.233,6.731,1105.416,4.000,0.000,6.000,22.340,35.566,36.697,19.803,59.310,11.000,3.000,61.497,74.231,3.000,222.693,3.000,0.000,10.000,193
mbpp_173,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,37.052,52.418,62.069,36.570,75.000,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,47
mbpp_431,mbpp,pass,0,,0,,0,5.000,3.000,79.608,4.755,0.500,2.377,3.000,0.000,0.000,35.889,56.490,61.538,14.420,66.667,7.000,4.000,76.286,4.755,0.500,2.377,6.000,0.000,0.000,42
mbpp_44,mbpp,pass,0,,0,,0,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,70.457,84.580,76.596,79.867,100.000,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,77
mbpp_36,mbpp,pass,0,,0,,0,5.000,2.000,71.920,62.270,3.429,213.496,1.000,0.000,1.000,32.726,42.091,63.636,19.274,47.727,7.000,2.000,69.287,51.891,4.167,216.214,1.000,0.000,0.000,67
mbpp_72,mbpp,pass,1,magic_number,1,magic_number,0,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,0.000,53.349,53.783,70.000,37.166,80.000,4.000,2.000,78.261,15.510,1.000,15.510,1.000,0.000,0.000,27
mbpp_200,mbpp,pass,0,,0,,0,3.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,2.000,46.628,56.283,63.636,34.449,90.411,4.000,3.000,81.722,4.755,0.500,2.377,0.000,0.000,2.000,51
HumanEval_4,humaneval,pass,0,,0,,0,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,100.000,100.000,100.000,100.000,100.000,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,223
mbpp_128,mbpp,pass,0,,0,,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,2.000,18.162,37.583,48.780,19.328,64.789,7.000,3.000,76.420,4.755,0.500,2.377,3.000,0.000,3.000,36
mbpp_137,mbpp,pass,0,,0,,0,5.000,2.000,77.028,11.610,1.000,11.610,1.000,0.000,3.000,25.129,40.907,44.898,12.050,56.790,10.000,3.000,67.760,27.000,1.800,48.600,4.000,0.000,2.000,56
mbpp_236,mbpp,fail,0,,0,,0,4.000,2.000,72.919,89.858,5.000,449.292,1.000,0.000,0.000,10.509,27.466,45.161,17.366,58.915,9.000,2.000,62.388,229.248,5.500,1260.865,2.000,0.000,0.000,58
mbpp_129,mbpp,pass,0,,0,,0,16.000,11.000,59.017,77.709,2.100,163.189,9.000,0.000,3.000,29.245,41.806,48.485,23.968,49.359,17.000,7.000,60.012,55.351,2.857,158.145,4.000,0.000,6.000,216
HumanEval_12,humaneval,pass,0,,0,,0,9.000,4.000,97.316,11.610,1.000,11.610,4.000,0.000,1.000,35.260,52.920,62.222,39.138,69.663,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,208
mbpp_503,mbpp,pass,0,,0,,0,2.000,2.000,83.344,25.266,1.200,30.319,0.000,0.000,2.000,32.155,53.194,48.649,16.138,53.846,3.000,2.000,79.142,11.610,1.000,11.610,0.000,0.000,1.000,52
mbpp_372,mbpp,pass,0,,0,,0,4.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,26.657,52.744,51.163,33.504,90.411,5.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,62
mbpp_240,mbpp,pass,0,,0,,0,2.000,1.000,82.002,11.610,1.000,11.610,0.000,0.000,0.000,38.473,50.576,69.565,21.053,66.667,4.000,1.000,82.510,2.000,0.500,1.000,0.000,0.000,0.000,32
mbpp_474,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,75.958,83.877,83.333,30.400,81.081,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,37
HumanEval_128,humaneval,pass,0,,0,,0,11.000,6.000,91.077,43.185,4.000,172.740,5.000,0.000,2.000,23.228,39.483,57.143,28.871,61.789,4.000,4.000,64.605,60.918,3.750,228.441,2.000,0.000,5.000,246
mbpp_205,mbpp,pass,0,,0,,0,2.000,2.000,85.708,11.610,1.000,11.610,0.000,0.000,1.000,32.536,54.984,64.516,9.026,42.308,3.000,1.000,84.624,2.000,0.500,1.000,0.000,0.000,3.000,42
mbpp_95,mbpp,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,77.020,70.850,85.714,32.365,83.721,3.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,35
mbpp_257,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,60.501,65.306,84.615,25.958,80.769,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,36
HumanEval_11,humaneval,pass,0,,0,,0,2.000,3.000,80.522,4.755,0.500,2.377,1.000,0.000,2.000,34.531,44.308,56.410,29.107,68.493,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,127
HumanEval_94,humaneval,pass,1,magic_number,1,magic_number,0,17.000,5.000,58.297,106.274,4.636,492.725,18.000,0.000,6.000,34.671,47.396,43.697,33.355,61.947,14.000,5.000,88.273,105.416,4.000,421.662,12.000,0.000,6.000,172
mbpp_43,mbpp,pass,0,,0,,0,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,68.354,85.294,89.796,47.705,100.000,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,80
HumanEval_5,humaneval,pass,0,,0,,0,8.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,2.000,36.224,57.620,55.000,31.681,62.000,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,184
mbpp_176,mbpp,pass,0,,0,,0,2.000,1.000,85.289,13.932,0.500,6.966,0.000,0.000,0.000,72.079,61.421,81.818,29.592,82.051,3.000,1.000,81.447,13.932,0.500,6.966,0.000,0.000,0.000,31
mbpp_154,mbpp,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,55.078,66.725,69.231,34.798,82.927,3.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,32
mbpp_331,mbpp,pass,1,dead_code,1,dead_code,0,5.000,1.000,75.049,23.265,1.500,34.897,0.000,0.000,3.000,20.842,35.553,43.137,14.644,42.222,8.000,3.000,67.225,64.529,4.286,276.554,3.000,0.000,0.000,79
mbpp_468,mbpp,pass,0,,0,,0,7.000,5.000,67.327,57.110,2.000,114.221,7.000,0.000,2.000,50.010,55.472,66.667,30.974,78.505,10.000,6.000,65.372,72.000,2.000,144.000,8.000,0.000,2.000,99
mbpp_378,mbpp,pass,0,,0,,0,4.000,2.000,74.663,25.266,1.875,47.374,1.000,0.000,0.000,22.336,36.425,33.333,30.123,73.333,3.000,1.000,78.253,16.253,1.333,21.671,0.000,0.000,0.000,46
mbpp_472,mbpp,pass,0,,0,,0,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,5.000,100.000,100.000,100.000,80.675,100.000,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,5.000,44
mbpp_422,mbpp,pass,0,,0,,0,3.000,2.000,79.301,27.000,1.800,48.600,0.000,0.000,2.000,51.673,60.031,72.727,30.883,65.000,5.000,2.000,72.740,47.549,2.500,118.872,1.000,0.000,2.000,53
mbpp_97,mbpp,pass,0,,0,,0,6.000,3.000,77.881,4.755,0.500,2.377,3.000,0.000,1.000,14.489,37.744,35.294,17.155,53.704,11.000,5.000,68.274,15.510,1.000,15.510,4.000,0.000,1.000,78
mbpp_413,mbpp,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,49.041,68.364,62.500,41.540,82.927,3.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,45
mbpp_144,mbpp,pass,0,,0,,0,6.000,2.000,70.543,55.507,1.500,83.260,1.000,0.000,2.000,47.341,54.525,68.000,30.659,70.175,5.000,2.000,70.551,97.672,2.909,284.137,1.000,0.000,1.000,73
