task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_82,humaneval,pass,1,magic_number,1,magic_number,0,10.000,5.000,90.840,66.417,3.667,243.530,5.000,0.000,4.000,43.338,67.905,58.621,53.077,72.222,8.000,5.000,92.268,49.829,2.143,106.776,5.000,0.000,2.000,292
HumanEval_83,humaneval,pass,1,magic_number,1,magic_number,0,9.000,6.000,91.107,138.242,5.714,789.956,6.000,0.000,4.000,7.589,21.703,18.182,38.570,30.769,3.000,2.000,93.062,41.513,2.286,94.887,1.000,0.000,0.000,286
HumanEval_84,humaneval,fail,1,magic_number,1,magic_number,3,13.000,4.000,87.079,101.950,4.667,475.768,5.000,30.769,6.000,9.318,25.498,16.901,28.934,28.000,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,202
HumanEval_85,humaneval,pass,0,,0,,0,2.000,4.000,73.011,53.774,2.500,134.436,1.000,0.000,3.000,54.612,68.670,83.333,39.980,85.366,2.000,3.000,86.982,15.510,1.000,15.510,0.000,0.000,3.000,156
HumanEval_86,humaneval,pass,0,,0,,0,4.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,46.314,58.331,29.630,27.408,63.492,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,266
HumanEval_87,humaneval,pass,0,,0,,0,8.000,4.000,71.190,11.610,1.000,11.610,6.000,0.000,3.000,15.444,27.169,38.235,17.859,35.897,3.000,4.000,52.140,4.755,0.500,2.377,0.000,0.000,3.000,167
HumanEval_88,humaneval,fail,0,,0,,4,13.000,4.000,91.643,44.973,2.286,102.795,4.000,38.462,5.000,48.516,70.450,52.381,52.205,62.500,2.000,2.000,50.083,50.189,2.250,112.926,1.000,0.000,2.000,205
HumanEval_89,humaneval,fail,1,magic_number,1,magic_number,0,10.000,4.000,86.244,202.119,2.545,514.484,5.000,0.000,2.000,8.571,24.334,29.032,22.681,55.034,9.000,3.000,88.924,66.608,2.667,177.621,4.000,0.000,1.000,308
HumanEval_90,humaneval,fail,1,magic_number,1,magic_number,4,11.000,2.000,72.273,4.755,0.500,2.377,1.000,0.000,5.000,28.064,44.158,33.333,27.495,38.806,3.000,2.000,69.208,4.755,0.500,2.377,1.000,0.000,3.000,129
HumanEval_91,humaneval,fail,0,,0,,0,4.000,3.000,100.000,0.000,0.000,0.000,0.000,50.000,4.000,13.469,49.550,37.838,19.424,55.263,4.000,2.000,74.090,4.755,0.500,2.377,0.000,0.000,2.000,256
HumanEval_92,humaneval,pass,0,,0,,0,6.000,6.000,95.702,91.377,3.200,292.405,3.000,33.333,2.000,27.871,46.671,63.333,39.944,71.318,6.000,7.000,79.653,104.000,3.000,312.000,5.000,0.000,1.000,170
HumanEval_93,humaneval,fail,0,,0,,0,13.000,4.000,86.474,125.098,2.000,250.196,8.000,0.000,5.000,6.418,35.438,23.377,16.077,40.000,5.000,4.000,72.151,15.510,1.000,15.510,1.000,0.000,5.000,491
HumanEval_94,humaneval,pass,1,magic_number,1,magic_number,0,12.000,1.000,64.110,55.507,3.125,173.458,11.000,0.000,7.000,48.395,55.720,52.336,44.226,55.838,14.000,5.000,88.273,105.416,4.000,421.662,12.000,0.000,6.000,222
HumanEval_95,humaneval,fail,0,,0,,0,7.000,5.000,94.066,11.610,1.000,11.610,2.000,14.286,4.000,6.561,20.736,23.158,11.421,46.328,22.000,12.000,82.277,162.516,2.824,458.868,23.000,0.000,5.000,164
HumanEval_96,humaneval,pass,1,magic_number,1,magic_number,0,10.000,3.000,65.569,55.507,3.125,173.458,11.000,0.000,3.000,31.402,49.721,41.096,23.468,61.290,11.000,5.000,94.326,15.510,1.000,15.510,8.000,0.000,2.000,152
HumanEval_97,humaneval,fail,0,,0,,0,8.000,3.000,79.205,15.510,1.000,15.510,3.000,62.500,2.000,2.460,15.428,10.526,26.217,37.143,2.000,1.000,51.853,25.266,1.200,30.319,0.000,0.000,1.000,321
HumanEval_98,humaneval,pass,0,,0,,0,7.000,4.000,93.025,58.603,2.500,146.508,4.000,0.000,2.000,52.505,70.438,76.190,48.314,77.647,6.000,3.000,95.793,15.510,1.000,15.510,3.000,0.000,2.000,195
HumanEval_99,humaneval,pass,1,magic_number,1,magic_number,4,10.000,4.000,64.324,79.954,2.800,223.872,6.000,0.000,5.000,9.913,29.714,30.000,15.895,49.718,16.000,6.000,84.216,77.709,1.950,151.533,8.000,6.250,7.000,133
HumanEval_100,humaneval,fail,1,dead_code,1,dead_code,0,11.000,5.000,85.789,108.000,8.500,918.000,6.000,0.000,4.000,9.044,31.859,24.490,22.051,12.371,2.000,2.000,53.654,15.510,1.000,15.510,0.000,0.000,1.000,345
HumanEval_101,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,66.667,2.000,1.848,13.241,11.429,8.491,38.889,11.000,4.000,97.606,11.610,1.000,11.610,5.000,0.000,3.000,232
HumanEval_102,humaneval,fail,0,,0,,0,5.000,3.000,85.582,106.274,4.636,492.725,3.000,0.000,3.000,18.707,33.876,47.619,23.615,58.065,8.000,4.000,93.206,65.729,5.000,328.646,3.000,0.000,0.000,226
HumanEval_103,humaneval,pass,0,,0,,0,6.000,2.000,82.059,58.810,4.583,269.547,1.000,0.000,4.000,44.722,43.660,55.814,36.176,79.630,7.000,3.000,84.946,71.699,4.643,332.889,2.000,0.000,3.000,302
HumanEval_104,humaneval,pass,0,,0,,0,4.000,4.000,66.062,24.000,1.500,36.000,0.000,50.000,4.000,17.009,24.954,40.000,25.015,84.211,6.000,4.000,89.293,15.510,1.000,15.510,3.000,0.000,5.000,242
HumanEval_105,humaneval,fail,1,magic_number,1,magic_number,0,6.000,13.000,93.975,132.834,4.000,531.337,45.000,66.667,2.000,9.641,36.787,18.487,21.243,32.402,20.000,3.000,100.000,0.000,0.000,0.000,3.000,0.000,2.000,331
