task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_172,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.675,27.966,30.769,6.691,23.377,6.000,5.000,68.738,88.000,1.731,152.308,4.000,0.000,2.000,136
mbpp_173,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,28.981,42.830,50.000,27.845,75.000,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,376
mbpp_174,mbpp,pass,0,,0,,0,8.000,3.000,75.155,4.755,0.500,2.377,4.000,0.000,1.000,29.733,47.114,53.659,48.173,72.941,5.000,2.000,100.000,0.000,0.000,0.000,1.000,0.000,2.000,374
mbpp_175,mbpp,pass,0,,0,,0,10.000,6.000,63.621,68.532,2.400,164.478,8.000,0.000,4.000,32.861,46.275,58.824,39.525,70.000,8.000,5.000,66.394,53.774,2.500,134.436,5.000,0.000,3.000,237
mbpp_176,mbpp,pass,0,,0,,0,2.000,1.000,85.289,13.932,0.500,6.966,0.000,0.000,0.000,72.079,61.421,81.818,29.592,82.051,3.000,1.000,81.447,13.932,0.500,6.966,0.000,0.000,0.000,140
mbpp_177,mbpp,fail,0,,0,,0,8.000,6.000,65.547,98.099,5.600,549.355,11.000,0.000,3.000,4.432,28.758,20.000,18.937,36.066,5.000,2.000,73.851,33.000,2.100,69.300,2.000,0.000,0.000,298
mbpp_178,mbpp,pass,0,,0,,0,5.000,3.000,79.608,4.755,0.500,2.377,3.000,0.000,0.000,26.555,48.049,58.537,18.460,80.851,7.000,3.000,100.000,0.000,0.000,0.000,4.000,0.000,1.000,125
mbpp_179,mbpp,fail,0,,0,,0,4.000,2.000,100.000,15.510,1.000,15.510,0.000,75.000,3.000,7.131,16.988,19.643,5.261,39.506,18.000,4.000,57.455,122.624,7.000,858.367,4.000,0.000,4.000,212
mbpp_180,mbpp,fail,0,,0,,0,10.000,1.000,80.795,197.418,2.545,502.520,0.000,10.000,5.000,7.728,33.281,21.569,30.387,22.831,4.000,1.000,73.799,70.324,1.500,105.486,0.000,0.000,3.000,485
mbpp_181,mbpp,pass,0,,0,,0,9.000,5.000,69.177,15.510,1.000,15.510,7.000,0.000,2.000,8.378,22.765,22.000,10.329,45.361,18.000,6.000,57.580,112.588,3.462,389.728,5.000,0.000,3.000,304
mbpp_182,mbpp,fail,0,,0,,0,7.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,31.659,50.717,62.222,52.465,100.000,7.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,436
mbpp_183,mbpp,pass,0,,0,,0,7.000,4.000,69.820,39.863,1.714,68.337,6.000,0.000,3.000,53.326,66.744,74.286,39.916,82.192,7.000,5.000,67.419,84.000,2.333,196.000,7.000,0.000,1.000,255
mbpp_184,mbpp,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,1.000,24.290,43.094,53.333,25.161,80.851,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,1.000,184
mbpp_185,mbpp,fail,0,,0,,0,6.000,1.000,94.835,151.621,4.125,625.435,0.000,33.333,1.000,32.605,42.464,51.724,35.862,50.000,3.000,1.000,74.819,123.190,3.393,417.966,0.000,0.000,0.000,212
mbpp_186,mbpp,pass,0,,0,,0,6.000,3.000,100.000,0.000,0.000,0.000,3.000,0.000,1.000,49.543,63.250,79.070,44.099,100.000,7.000,3.000,100.000,0.000,0.000,0.000,4.000,0.000,1.000,163
mbpp_187,mbpp,fail,1,dead_code,1,dead_code,0,18.000,7.000,85.589,144.000,4.000,576.000,11.000,66.667,1.000,8.120,33.671,20.074,21.615,44.366,7.000,4.000,66.415,122.115,4.889,597.004,5.000,0.000,2.000,606
mbpp_188,mbpp,fail,0,,0,,0,8.000,5.000,65.389,108.000,4.091,441.818,7.000,0.000,2.000,43.439,58.362,69.444,18.774,53.333,7.000,5.000,66.891,99.912,4.000,399.647,10.000,0.000,1.000,195
mbpp_189,mbpp,fail,0,,0,,0,22.000,11.000,54.152,142.702,5.714,815.439,14.000,0.000,3.000,37.142,46.883,55.629,27.822,67.524,17.000,10.000,56.681,144.946,5.500,797.206,12.000,0.000,1.000,358
mbpp_190,mbpp,fail,0,,0,,0,7.000,5.000,69.995,36.000,1.333,48.000,7.000,0.000,2.000,26.837,54.686,43.137,27.670,41.860,2.000,1.000,81.290,51.891,1.111,57.657,0.000,0.000,0.000,257
mbpp_191,mbpp,fail,0,,0,,3,19.000,1.000,84.839,23.265,0.600,13.959,0.000,5.263,2.000,7.944,41.977,24.324,26.452,25.000,5.000,5.000,71.690,58.810,1.333,78.414,3.000,0.000,0.000,263
mbpp_192,mbpp,fail,0,,0,,3,5.000,4.000,96.127,38.039,1.143,43.473,1.000,20.000,4.000,15.767,37.229,20.290,16.173,46.602,9.000,5.000,73.770,4.755,0.500,2.377,6.000,0.000,2.000,162
mbpp_193,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,25.987,51.924,50.000,21.092,77.419,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,253
mbpp_194,mbpp,pass,0,,0,,0,9.000,2.000,66.906,51.891,2.857,148.261,1.000,0.000,1.000,28.764,45.374,61.290,21.735,87.179,11.000,2.000,65.005,51.891,2.857,148.261,1.000,0.000,1.000,163
mbpp_195,mbpp,pass,0,,0,,0,5.000,3.000,76.893,11.610,1.000,11.610,3.000,0.000,1.000,6.102,19.166,27.119,10.155,38.760,14.000,4.000,59.939,118.536,6.650,788.267,5.000,0.000,0.000,196
mbpp_196,mbpp,pass,0,,0,,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,1.000,18.587,40.557,52.941,31.050,86.275,3.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,1.000,349
mbpp_197,mbpp,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,2.000,14.882,36.284,36.842,24.720,89.231,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,363
mbpp_198,mbpp,fail,2,dead_code;magic_number,1,dead_code,3,6.000,1.000,92.258,53.774,1.000,53.774,0.000,16.667,1.000,25.759,38.122,35.484,14.170,32.653,6.000,3.000,68.745,95.908,2.885,276.658,2.000,0.000,2.000,333
mbpp_199,mbpp,fail,1,magic_number,0,,3,5.000,1.000,94.914,64.725,2.200,142.395,0.000,20.000,1.000,22.646,36.574,27.586,7.947,43.902,7.000,3.000,70.361,34.869,2.800,97.634,3.000,0.000,1.000,363
mbpp_200,mbpp,pass,0,,0,,0,3.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,2.000,33.696,53.114,54.545,33.645,90.411,4.000,3.000,81.722,4.755,0.500,2.377,0.000,0.000,2.000,246
mbpp_201,mbpp,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,1.000,34.002,60.917,50.000,36.086,61.538,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,2.000,174
mbpp_202,mbpp,fail,0,,0,,0,2.000,3.000,84.693,15.510,1.000,15.510,0.000,0.000,3.000,28.344,40.678,57.143,14.940,53.488,6.000,3.000,70.504,53.774,2.500,134.436,3.000,0.000,2.000,158
mbpp_203,mbpp,pass,0,,0,,0,7.000,2.000,70.089,39.863,2.667,106.302,1.000,0.000,0.000,25.004,42.000,41.860,46.123,96.203,7.000,2.000,69.179,53.774,3.571,192.052,1.000,0.000,0.000,139
mbpp_204,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.691,25.191,20.690,11.096,40.000,6.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,2.000,104
mbpp_205,mbpp,fail,0,,0,,0,2.000,2.000,85.708,11.610,1.000,11.610,0.000,0.000,1.000,11.925,41.626,41.379,7.753,42.308,3.000,1.000,84.624,2.000,0.500,1.000,0.000,0.000,3.000,254
mbpp_206,mbpp,fail,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,7.103,39.603,35.714,6.344,32.653,3.000,2.000,81.856,4.755,0.500,2.377,0.000,0.000,2.000,279
mbpp_207,mbpp,fail,0,,0,,0,13.000,5.000,61.385,88.811,3.556,315.771,7.000,0.000,3.000,47.038,58.933,70.423,28.725,53.448,10.000,7.000,61.813,159.909,7.778,1243.736,8.000,0.000,3.000,427
mbpp_208,mbpp,pass,0,,0,,0,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,22.705,37.447,46.512,24.027,77.778,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,281
mbpp_209,mbpp,fail,0,,0,,0,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,37.178,67.432,64.516,35.079,83.333,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,342
mbpp_210,mbpp,pass,0,,0,,0,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,27.699,41.862,48.980,22.792,66.667,5.000,1.000,82.510,2.000,0.500,1.000,0.000,0.000,3.000,193
