task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
feature_envy_advanced_003,emphatic,advanced,General Software,Implement,,0,,0,,0,5,0,5,23.000,13.000,100.000,0.000,0.000,0.000,0.000,8.696,0.000,430
feature_envy_advanced_004,emphatic,advanced,E-commerce,List,,1,long_parameter_list,1,long_parameter_list,0,5,0,8,22.000,9.000,100.000,0.000,0.000,0.000,0.000,40.909,2.000,524
feature_envy_advanced_005,emphatic,advanced,Finance,Design,,0,,0,,0,2,2,1,5.000,4.000,100.000,0.000,0.000,0.000,0.000,20.000,0.000,269
feature_envy_advanced_006,emphatic,advanced,Healthcare,Analyze,,0,,0,,0,2,0,8,21.000,15.000,84.490,80.000,2.167,173.333,7.000,38.095,0.000,441
data_clumps_basic_001,emphatic,basic,E-commerce,Report,,1,duplicate_code,0,,0,3,0,1,24.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,545
data_clumps_basic_002,emphatic,basic,Finance,Measure,,1,inefficient_loop,2,dead_code;inefficient_loop,6,2,1,3,17.000,4.000,87.843,22.459,1.000,22.459,3.000,23.529,6.000,443
data_clumps_basic_003,emphatic,basic,Healthcare,Analyze,,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,8,10.000,1.000,88.675,185.441,2.955,547.893,0.000,30.000,5.000,533
data_clumps_basic_004,emphatic,basic,Scientific Computing,Measure,,0,,0,,7,3,0,1,13.000,3.000,80.395,38.039,0.500,19.020,0.000,7.692,4.000,377
data_clumps_basic_005,emphatic,basic,General Software,Design,,0,,0,,0,3,0,4,10.000,5.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,396
data_clumps_basic_006,emphatic,basic,E-commerce,Recommend,,3,dead_code;duplicate_code;magic_number,3,dead_code;duplicate_code;magic_number,0,4,0,7,45.000,12.000,72.985,38.039,0.500,19.020,8.000,15.556,5.000,763
data_clumps_intermediate_001,emphatic,intermediate,Finance,Recommend,,0,,0,,0,12,0,5,48.000,28.000,44.528,199.705,4.900,978.556,12.000,0.000,6.000,615
data_clumps_intermediate_002,emphatic,intermediate,Healthcare,Recommend,,0,,0,,4,4,0,5,17.000,6.000,100.000,0.000,0.000,0.000,0.000,23.529,5.000,421
data_clumps_intermediate_003,emphatic,intermediate,Scientific Computing,Write,,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,8,0,6,30.000,18.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,671
data_clumps_intermediate_004,emphatic,intermediate,General Software,Evaluate,,1,long_parameter_list,1,long_parameter_list,5,4,0,6,28.000,14.000,100.000,0.000,0.000,0.000,2.000,17.857,8.000,500
data_clumps_intermediate_005,emphatic,intermediate,E-commerce,Write,,1,long_parameter_list,1,long_parameter_list,0,6,0,6,34.000,15.000,57.103,13.932,0.500,6.966,9.000,0.000,8.000,655
data_clumps_intermediate_006,emphatic,intermediate,Finance,Implement,,0,,0,,0,12,0,5,48.000,28.000,44.528,199.705,4.900,978.556,12.000,0.000,6.000,607
data_clumps_advanced_001,emphatic,advanced,Healthcare,Measure,,1,long_parameter_list,1,long_parameter_list,2,6,4,10,27.000,11.000,85.339,8.000,0.500,4.000,3.000,22.222,7.000,551
data_clumps_advanced_002,emphatic,advanced,Scientific Computing,Report,,1,long_parameter_list,1,long_parameter_list,0,6,4,6,30.000,9.000,93.623,2.000,0.500,1.000,1.000,26.667,6.000,496
data_clumps_advanced_003,emphatic,advanced,General Software,Evaluate,,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,5,5,0,2,36.000,10.000,66.335,25.266,0.500,12.633,6.000,2.778,6.000,719
data_clumps_advanced_004,emphatic,advanced,E-commerce,Recommend,,1,long_parameter_list,1,long_parameter_list,0,7,4,1,27.000,9.000,100.000,0.000,0.000,0.000,0.000,14.815,0.000,536
data_clumps_advanced_005,emphatic,advanced,Finance,Recommend,,1,long_parameter_list,1,long_parameter_list,2,6,4,10,27.000,11.000,85.339,8.000,0.500,4.000,3.000,22.222,7.000,551
data_clumps_advanced_006,emphatic,advanced,Healthcare,Design,,1,long_parameter_list,1,long_parameter_list,0,6,4,6,30.000,9.000,93.623,2.000,0.500,1.000,1.000,26.667,6.000,496
duplicated_code_basic_001,emphatic,basic,E-commerce,Design,duplicate_code,0,,0,,0,3,0,2,10.000,3.000,94.737,25.266,0.500,12.633,0.000,30.000,1.000,447
duplicated_code_basic_002,emphatic,basic,Finance,Measure,duplicate_code,0,,0,,0,3,0,1,6.000,3.000,73.070,25.266,0.500,12.633,0.000,0.000,0.000,337
duplicated_code_basic_003,emphatic,basic,Healthcare,Analyze,duplicate_code,0,,0,,0,2,0,4,14.000,6.000,92.474,13.932,0.500,6.966,2.000,28.571,2.000,443
