smell,measure,family,injected_d,injected_lo,injected_hi,real_d,real_lo,real_hi,capped
complex_conditional,ast_similarity,similarity,3.0556,2.6475539439947497,3.4636460560052504,,,,False
complex_conditional,codebert_score,similarity,3.9669,3.489444888980713,4.444355111019287,,,,False
complex_conditional,bertscore,similarity,3.9618,3.4847517507201604,4.43884824927984,,,,False
long_method,sloc,structural,5.0,,,1.921,1.7914008239119736,2.0505991760880264,True
long_method,cyclomatic,structural,0.0,-0.27718585822512665,0.27718585822512665,1.725,1.5990498104870523,1.8509501895129479,False
long_method,cognitive,structural,0.0,-0.27718585822512665,0.27718585822512665,1.446,1.3247193290034673,1.5672806709965326,False
long_method,maintainability,structural,3.0828,2.67279376750181,3.4928062324981903,2.926,2.773840942972066,3.0781590570279342,False
long_method,halstead_volume,structural,5.0,,,1.764,1.637346898565328,1.8906531014346721,True
long_method,halstead_difficulty,structural,0.5447,0.26242090325998274,0.8269790967400172,3.508,3.340552518815017,3.675447481184983,False
long_method,halstead_effort,structural,1.7547,1.4285061190758477,2.080893880924152,1.456,1.3345633123680436,1.5774366876319563,False
long_method,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.193,-0.30267765928867696,-0.08332234071132304,False
long_method,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-3.389,-3.5532183867640614,-3.224781613235938,False
long_method,perplexity,fluency,-1.2414,-1.5441085633275677,-0.9386914366724325,-0.638,-0.7498558502132742,-0.5261441497867259,False
long_method,bleu,similarity,5.0,,,,,,True
long_method,chrf,similarity,4.7684,4.225072952329594,5.311727047670406,,,,False
long_method,rouge_l,similarity,5.0,,,,,,True
long_method,codebleu,similarity,5.0,,,,,,True
long_method,ast_similarity,similarity,5.0,,,,,,True
long_method,codebert_score,similarity,5.0,,,,,,True
long_method,bertscore,similarity,5.0,,,,,,True
inefficient_copy,sloc,structural,0.2111,-0.06685680432189456,0.4890568043218946,0.908,0.691093723523205,1.1249062764767952,False
inefficient_copy,cyclomatic,structural,0.279,0.0004688797207752504,0.5575311202792248,2.241,2.0076936917980515,2.4743063082019487,False
inefficient_copy,cognitive,structural,0.1788,-0.09893914830603198,0.45653914830603193,2.578,2.3386500196726137,2.817349980327386,False
inefficient_copy,maintainability,structural,0.0378,-0.23941061051005968,0.3150106105100597,1.171,0.9518879293646633,1.3901120706353367,False
inefficient_copy,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.782,0.5659588539767764,0.9980411460232237,False
